지역,대학,대학,학과,일반/특별,전형유형,전형명,인원,지원자격,학교장추천,전형방법,1단계배수,교과,면접,2단계배수,교과,면접,국어,수학,영어,탐구,탐구과목수,탐과계산법,과목수,등급합,면접일자
서울,서울대학교,인문대학,인문계열,일반전형,학생부종합,지역균형전형,27,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,인문대학,역사학부,일반전형,학생부종합,지역균형전형,9,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,사회과학대학,정치외교학부,일반전형,학생부종합,지역균형전형,17,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,사회과학대학,경제학부,일반전형,학생부종합,지역균형전형,7,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,사회과학대학,사회학과,일반전형,학생부종합,지역균형전형,6,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,사회과학대학,심리학과,일반전형,학생부종합,지역균형전형,6,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,사회과학대학,지리학과,일반전형,학생부종합,지역균형전형,6,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,사회과학대학,사회복지학과,일반전형,학생부종합,지역균형전형,6,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,자연과학대학,수리과학부,일반전형,학생부종합,지역균형전형,7,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
서울,서울대학교,자연과학대학,통계학과,일반전형,학생부종합,지역균형전형,6,"소속 고등학교장의 추천을 받은 2026년 2월 국내 고등학교 졸업예정자(조기졸업예정자 제외)
※ 고등학교별 추천 인원은 2명 이내
※ 학교장추천전형 담당 교사(고등학교별로 1명 지정)가 지원자가 원서 접수한 대행사의 사이트에 로그인하여 지원자 추천",2,"1단계(3배수):교과100,2단계(1배수):교과70+면접30",3,100,,1,70,30,O,O,O,O,2,평균,3,7,2025.11.28(금)
